date,open,high,low,close
2005-01-03,82.024826,82.159783,80.904713,81.174622
2005-01-04,81.282579,81.336562,79.919550,80.182709
2005-01-05,80.121949,80.466083,79.622623,79.629372
2005-01-06,79.919516,80.398601,79.798058,80.034225
2005-01-07,80.277167,80.452608,79.710359,79.919540
2005-01-10,79.852060,80.607802,79.852060,80.297409
2005-01-11,80.054480,80.121956,79.615880,79.744087
2005-01-12,79.892546,80.189441,79.298747,80.007256
2005-01-13,80.054510,80.115242,79.285275,79.366249
2005-01-14,79.602414,79.980283,79.460713,79.784599
2005-01-18,79.656371,80.715756,79.588890,80.614540
2005-01-19,80.587549,80.648275,79.764331,79.771080
2005-01-20,79.548430,79.757606,79.143570,79.285271
2005-01-21,79.480940,79.622641,78.711705,78.799423
2005-01-24,79.008589,79.177281,78.522760,78.644218
2005-01-25,78.887153,79.265021,78.758945,78.866905
2005-01-26,79.163807,79.352742,78.974873,79.103081
2005-01-27,79.076087,79.453955,78.934386,79.238029
2005-01-28,79.278514,79.319004,78.684720,79.238029
2005-01-31,79.588900,79.791333,79.426957,79.730606
2005-02-01,79.791322,80.351381,79.690106,80.236671
2005-02-02,80.337845,80.695471,80.229885,80.479546
2005-02-03,80.337900,80.405381,80.007265,80.270424
2005-02-04,80.297459,81.262378,80.283965,81.127426
2005-02-07,81.140837,81.323022,80.945154,81.019379
2005-02-08,81.086877,81.410768,81.019402,81.113869
2005-02-09,81.255562,81.302795,80.466084,80.506569
2005-02-10,80.742791,80.985703,80.472882,80.796768
2005-02-11,80.769751,81.673943,80.607808,81.491753
2005-02-14,81.437741,81.552451,81.296041,81.430992
2005-02-15,81.511995,81.937097,81.431021,81.734665
2005-02-16,81.599701,81.957327,81.424260,81.788635
2005-02-17,81.802195,81.869671,81.120677,81.127426
2005-02-18,81.134082,81.296030,80.904663,81.235298
2005-02-22,80.904674,81.289291,80.013980,80.027473
2005-02-23,80.250212,80.682064,80.041036,80.601089
2005-02-24,80.459379,81.188130,80.283943,81.134148
2005-02-25,81.154355,82.099031,81.093628,81.937088
2005-02-28,81.748160,81.849376,80.999167,81.397278
2005-03-01,81.525436,81.997772,81.498445,81.802094
2005-03-02,81.485028,82.274506,81.410803,81.761681
2005-03-03,82.092272,82.254214,81.444490,81.795372
2005-03-04,82.355443,82.881761,82.180002,82.814285
2005-03-07,82.767087,83.165198,82.591646,82.854805
2005-03-08,82.773829,82.996504,82.395961,82.544411
2005-03-09,82.301477,82.517403,81.619960,81.626709
2005-03-10,81.781885,81.984317,81.242073,81.808876
2005-03-11,81.856083,82.132741,81.080104,81.235298
2005-03-14,81.383791,81.754915,81.161116,81.741417
2005-03-15,81.930330,81.957321,81.026143,81.066628
2005-03-16,80.769711,81.080108,80.229900,80.378349
2005-03-17,80.506589,80.796739,80.283919,80.540329
2005-03-18,80.687299,80.971813,80.036978,80.301170
2005-03-21,80.416354,80.463773,79.772808,80.003128
2005-03-22,80.186022,80.565375,79.190216,79.190216
2005-03-23,79.224092,79.745707,79.088610,79.257965
2005-03-24,79.569580,79.928611,79.298611,79.352806
2005-03-28,79.542481,79.894741,79.467964,79.467964
2005-03-29,79.352809,79.867648,78.749906,78.939583
2005-03-30,79.108940,80.070873,79.102165,80.057327
2005-03-31,80.064103,80.247004,79.847329,79.908295
2005-04-01,80.362179,80.606050,79.197023,79.549278
2005-04-04,79.501815,79.840524,79.081813,79.684715
2005-04-05,79.786320,80.192770,79.711804,80.064064
2005-04-06,80.240214,80.578923,80.057313,80.341827
2005-04-07,80.213122,80.788927,80.152152,80.775375
2005-04-08,80.727973,80.755070,79.935394,79.935394
2005-04-11,80.131832,80.219895,79.820220,79.996346
2005-04-12,79.860869,80.653447,79.305386,80.409576
2005-04-13,80.314756,80.477340,79.346047,79.461212
2005-04-14,79.528962,79.596703,78.424767,78.424767
2005-04-15,78.404401,78.716013,77.293436,77.327309
2005-04-18,77.307005,77.876035,77.198616,77.564423
2005-04-19,77.970852,78.262142,77.787951,78.180855
2005-04-20,78.160542,78.329897,76.920871,77.090225
2005-04-21,77.760875,78.722808,77.483131,78.587326
2005-04-22,78.404421,78.919260,77.408615,78.289261
2005-04-25,78.485728,78.919275,78.390889,78.804115
2005-04-26,78.553437,79.102144,78.004729,78.038597
2005-04-27,77.808284,78.627959,77.523769,78.343445
2005-04-28,78.086036,78.363780,77.361198,77.361198
2005-04-29,77.950526,78.492463,77.205367,78.411171
2005-05-02,78.627952,78.858277,78.255370,78.851501
2005-05-03,78.627946,79.156331,78.370529,78.986977
2005-05-04,79.020890,79.766050,78.770243,79.596695
2005-05-05,79.711822,79.935371,79.081823,79.569565
2005-05-06,79.887981,79.928625,79.298625,79.318947
2005-05-09,79.400236,79.989592,79.291851,79.813461
2005-05-10,79.501816,79.596654,78.844719,78.986977
2005-05-11,79.210527,79.528914,78.478914,79.420525
2005-05-12,79.474750,79.657650,78.546684,78.546684
2005-05-13,78.783773,79.000547,77.767645,78.390869
2005-05-16,78.377333,79.149590,78.350241,79.122498
2005-05-17,78.858270,79.732135,78.688916,79.650848
2005-05-18,79.996354,80.667003,79.942165,80.470551
2005-05-19,80.626367,80.890565,80.409593,80.809273
2005-05-20,80.843089,80.876962,80.436639,80.694061
2005-05-23,80.755099,81.317358,80.741553,81.141228
2005-05-24,80.910856,81.175049,80.748272,80.951500
2005-05-25,80.849938,81.202199,80.497683,80.890587
2005-05-26,81.147974,81.432489,81.032814,81.324104
2005-05-27,81.330868,81.459579,81.154743,81.459579
2005-05-31,81.344431,81.405396,80.883786,80.937981
